lat,long,year,item,group_rank,temp,rain,n,p,k,value,xgb_rank
-41.5000831,172.8344077,2013,Oats,1,1732,13.57,0.494514233,0.362198263,0.143287504,130453880,4
-41.5000831,172.8344077,2013,Game meat  fresh  chilled or frozen,2,1732,13.57,0.494514233,0.362198263,0.143287504,130453880,3
-41.5000831,172.8344077,2013,Maize  corn ,3,1732,13.57,0.494514233,0.362198263,0.143287504,821763776,8
-41.5000831,172.8344077,2013,Barley,4,1732,13.57,0.494514233,0.362198263,0.143287504,111549832,1
-41.5000831,172.8344077,2013,Wheat,5,1732,13.57,0.494514233,0.362198263,0.143287504,589463296,6
-41.5000831,172.8344077,2013,Apples,6,1732,13.57,0.494514233,0.362198263,0.143287504,804759680,7
-41.5000831,172.8344077,2013,Shorn wool  greasy  including fleece washed shorn wool,7,1732,13.57,0.494514233,0.362198263,0.143287504,426626112,5
-41.5000831,172.8344077,2013,Kiwi fruit,8,1732,13.57,0.494514233,0.362198263,0.143287504,124407464,2
-41.5000831,172.8344077,2013,Raw milk of cattle,9,1732,13.57,0.494514233,0.362198263,0.143287504,2807372544,9
-34.9964963,-64.9672817,2013,Canary seed,1,591,16.45,0.551918136,0.420956326,0.027125538,152618432,6
-34.9964963,-64.9672817,2013,Pomelos and grapefruits,2,591,16.45,0.551918136,0.420956326,0.027125538,127102680,2
-34.9964963,-64.9672817,2013,Beeswax,3,591,16.45,0.551918136,0.420956326,0.027125538,152618432,5
-34.9964963,-64.9672817,2013,Walnuts  in shell,4,591,16.45,0.551918136,0.420956326,0.027125538,152618432,15
-34.9964963,-64.9672817,2013,Tea leaves,5,591,16.45,0.551918136,0.420956326,0.027125538,138444480,3
-34.9964963,-64.9672817,2013,Bananas,6,591,16.45,0.551918136,0.420956326,0.027125538,175488416,18
-34.9964963,-64.9672817,2013,Tangerines  mandarins  clementines,7,591,16.45,0.551918136,0.420956326,0.027125538,152618432,14
-34.9964963,-64.9672817,2013,Olives,8,591,16.45,0.551918136,0.420956326,0.027125538,302530528,24
-34.9964963,-64.9672817,2013,Carrots and turnips,9,591,16.45,0.551918136,0.420956326,0.027125538,152618432,7
-34.9964963,-64.9672817,2013,Beans  dry,10,591,16.45,0.551918136,0.420956326,0.027125538,152618432,4
-34.9964963,-64.9672817,2013,Oats,11,591,16.45,0.551918136,0.420956326,0.027125538,152618432,12
-34.9964963,-64.9672817,2013,Maté leaves,12,591,16.45,0.551918136,0.420956326,0.027125538,152618432,10
-34.9964963,-64.9672817,2013,Oranges,13,591,16.45,0.551918136,0.420956326,0.027125538,243587664,21
-34.9964963,-64.9672817,2013,Green garlic,14,591,16.45,0.551918136,0.420956326,0.027125538,152618432,8
-34.9964963,-64.9672817,2013,Chillies and peppers  green  Capsicum spp  and Pimenta spp  ,15,591,16.45,0.551918136,0.420956326,0.027125538,172056288,17
-34.9964963,-64.9672817,2013,Shorn wool  greasy  including fleece washed shorn wool,16,591,16.45,0.551918136,0.420956326,0.027125538,162607712,16
-34.9964963,-64.9672817,2013,Natural honey,17,591,16.45,0.551918136,0.420956326,0.027125538,152618432,11
-34.9964963,-64.9672817,2013,Pears,18,591,16.45,0.551918136,0.420956326,0.027125538,152618432,13
-34.9964963,-64.9672817,2013,Apples,19,591,16.45,0.551918136,0.420956326,0.027125538,248272480,22
-34.9964963,-64.9672817,2013,Lemons and limes,20,591,16.45,0.551918136,0.420956326,0.027125538,152618432,9
-34.9964963,-64.9672817,2013,Seed cotton  unginned,21,591,16.45,0.551918136,0.420956326,0.027125538,386531136,27
-34.9964963,-64.9672817,2013,Cotton lint  ginned,22,591,16.45,0.551918136,0.420956326,0.027125538,322259328,25
-34.9964963,-64.9672817,2013,Tomatoes,23,591,16.45,0.551918136,0.420956326,0.027125538,463768192,29
-34.9964963,-64.9672817,2013,Unmanufactured tobacco,24,591,16.45,0.551918136,0.420956326,0.027125538,232408368,20
-34.9964963,-64.9672817,2013,Rice,25,591,16.45,0.551918136,0.420956326,0.027125538,107187048,1
-34.9964963,-64.9672817,2013,Potatoes,26,591,16.45,0.551918136,0.420956326,0.027125538,414427264,28
-34.9964963,-64.9672817,2013,Sorghum,27,591,16.45,0.551918136,0.420956326,0.027125538,210633136,19
-34.9964963,-64.9672817,2013,Grapes,28,591,16.45,0.551918136,0.420956326,0.027125538,750216448,31
-34.9964963,-64.9672817,2013,Sugar cane,29,591,16.45,0.551918136,0.420956326,0.027125538,567423168,30
-34.9964963,-64.9672817,2013,Hen eggs in shell  fresh,30,591,16.45,0.551918136,0.420956326,0.027125538,276151712,23
-34.9964963,-64.9672817,2013,Sunflower seed,31,591,16.45,0.551918136,0.420956326,0.027125538,327754464,26
-34.9964963,-64.9672817,2013,Wheat,32,591,16.45,0.551918136,0.420956326,0.027125538,1178911104,33
-34.9964963,-64.9672817,2013,Raw milk of cattle,33,591,16.45,0.551918136,0.420956326,0.027125538,1394657280,34
-34.9964963,-64.9672817,2013,Maize  corn ,34,591,16.45,0.551918136,0.420956326,0.027125538,1009937344,32
-34.9964963,-64.9672817,2013,Soya beans,35,591,16.45,0.551918136,0.420956326,0.027125538,5794564096,35
-32.8755548,-56.0201525,2013,Green corn  maize ,1,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,7
-32.8755548,-56.0201525,2013,Pomelos and grapefruits,2,1300,15.92,0.357671105,0.436640309,0.205688586,-28889206,1
-32.8755548,-56.0201525,2013,Cantaloupes and other melons,3,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,5
-32.8755548,-56.0201525,2013,Plums and sloes,4,1300,15.92,0.357671105,0.436640309,0.205688586,-12224512,2
-32.8755548,-56.0201525,2013,Watermelons,5,1300,15.92,0.357671105,0.436640309,0.205688586,-9930746,3
-32.8755548,-56.0201525,2013,Green garlic,6,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,8
-32.8755548,-56.0201525,2013,Carrots and turnips,7,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,6
-32.8755548,-56.0201525,2013,Pears,8,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,13
-32.8755548,-56.0201525,2013,Pumpkins  squash and gourds,9,1300,15.92,0.357671105,0.436640309,0.205688586,-1543402.5,17
-32.8755548,-56.0201525,2013,Chillies and peppers  green  Capsicum spp  and Pimenta spp  ,10,1300,15.92,0.357671105,0.436640309,0.205688586,12207458,19
-32.8755548,-56.0201525,2013,Oats,11,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,11
-32.8755548,-56.0201525,2013,Onions and shallots  dry  excluding dehydrated ,12,1300,15.92,0.357671105,0.436640309,0.205688586,11328138,18
-32.8755548,-56.0201525,2013,Lemons and limes,13,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,9
-32.8755548,-56.0201525,2013,Peaches and nectarines,14,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,12
-32.8755548,-56.0201525,2013,Natural honey,15,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,10
-32.8755548,-56.0201525,2013,Sorghum,16,1300,15.92,0.357671105,0.436640309,0.205688586,54641316,20
-32.8755548,-56.0201525,2013,Meat of pig with the bone  fresh or chilled,17,1300,15.92,0.357671105,0.436640309,0.205688586,165215584,26
-32.8755548,-56.0201525,2013,Sweet potatoes,18,1300,15.92,0.357671105,0.436640309,0.205688586,-6557253.5,4
-32.8755548,-56.0201525,2013,Barley,19,1300,15.92,0.357671105,0.436640309,0.205688586,-3013192.5,16
-32.8755548,-56.0201525,2013,Potatoes,20,1300,15.92,0.357671105,0.436640309,0.205688586,171865584,27
-32.8755548,-56.0201525,2013,Tomatoes,21,1300,15.92,0.357671105,0.436640309,0.205688586,261682448,30
-32.8755548,-56.0201525,2013,Tangerines  mandarins  clementines,22,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,15
-32.8755548,-56.0201525,2013,Oranges,23,1300,15.92,0.357671105,0.436640309,0.205688586,87595848,22
-32.8755548,-56.0201525,2013,Apples,24,1300,15.92,0.357671105,0.436640309,0.205688586,81720968,21
-32.8755548,-56.0201525,2013,Meat of sheep  fresh or chilled,25,1300,15.92,0.357671105,0.436640309,0.205688586,119908264,24
-32.8755548,-56.0201525,2013,Shorn wool  greasy  including fleece washed shorn wool,26,1300,15.92,0.357671105,0.436640309,0.205688586,-3373402.5,14
-32.8755548,-56.0201525,2013,Hen eggs in shell  fresh,27,1300,15.92,0.357671105,0.436640309,0.205688586,145134704,25
-32.8755548,-56.0201525,2013,Grapes,28,1300,15.92,0.357671105,0.436640309,0.205688586,597997184,32
